Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
40397725,GOURMET GRILL,Brooklyn,AVENUE N,11234,A
40369810,PETE'S TAVERN,Manhattan,EAST   18 STREET,10003,A
40633087,BABBO RISTORANTE E ENOTECA,Manhattan,WAVERLY PLACE,10011,B
41433265,WA JEAL,Manhattan,2 AVENUE,10028,A
50094742,ROTI-R-US,Brooklyn,FLATLANDS AVENUE,11236,C
41110390,"YIP'S RESTAURANT, JUICE VITALITY",Manhattan,BEAVER STREET,10004,B
50003763,UNCLE JIMMY'S PIZZA,Queens,49 STREET,11104,C
41659905,TWIST IT TOP IT FROZEN YOGURT,Queens,CROSSBAY BOULEVARD,11414,A
41501681,SUBWAY,Manhattan,BROADWAY,10004,A
50014394,LUIGI'S PIZZA & PASTA,Bronx,BURKE AVENUE,10467,A
50074901,BUSHNIWA,Brooklyn,VARET STREET,11206,A
50094301,LE VIET THAI,Manhattan,2 AVENUE,10128,A
50058997,MARCHINI RESTAURANT,Queens,48TH ST,11378,A
50054965,PA PA THAI CUISINE,Manhattan,1 AVENUE,10022,A
50096137,LOVE CAFE,Manhattan,PLEASANT AVENUE,10029,A
50009340,SUSHI YU,Brooklyn,PROSPECT PARK WEST,11215,P
